HCH_012_046_000001	雲南《禹貢》梁州徼外。
HCH_012_046_000228	溪處甸長官司府西南。
HCH_012_046_000229	元溪處甸軍民副萬戶，屬元江路。
HCH_012_046_000230	洪武中改置，來屬。
HCH_012_046_000231	思佗甸長官司府西南。
HCH_012_046_000232	元和泥路。
HCH_012_046_000233	洪武十五年三月爲府，領納樓千戶所伴溪、七溪、阿撒三蠻部，十七年廢，後改置。
HCH_012_046_000234	左能寨長官司府西南。
HCH_012_046_000235	本思佗甸寨，洪武中改置。
HCH_012_046_000236	落恐甸長官司府西南。
HCH_012_046_000237	元伴溪落恐部軍民萬戶。
HCH_012_046_000238	洪武中改置。
HCH_012_046_000239	安南長官司府東南。
HCH_012_046_000240	元舍資千戶，後改安南道防送軍千戶。
HCH_012_046_000241	洪武十五年三月仍曰舍資千戶所，尋改置長官司。
HCH_012_046_000242	正德六年省入蒙自縣。
HCH_012_046_000243	天啓二年復置。
HCH_012_046_000244	澂江府元澂江路。
HCH_012_046_000245	洪武十五年三月府。
HCH_012_046_000246	領州二，縣三。
HCH_012_046_000247	西北距布政司八十里。
HCH_012_046_000248	河陽倚。
HCH_012_046_000249	舊治在西。
HCH_012_046_000250	洪武中，遷繡球山上。
HCH_012_046_000251	弘治中，又遷縣東金蓮山。
HCH_012_046_000252	正德十三年又遷縣東暘溥山麓。
HCH_012_046_000253	嘉靖二十年又遷金蓮山南。
HCH_012_046_000254	隆慶四年又遷舞鳳山下，即今治。
HCH_012_046_000255	北有羅藏山。
HCH_012_046_000256	南有撫仙湖，一名羅伽湖，下流東會於盤江。
HCH_012_046_000257	又東有鐵池河，源出陸涼州，流至此，會撫仙湖，復引流爲鐵赤河，入於盤江。
HCH_012_046_000258	江川府西南。
HCH_012_046_000259	南有故城，崇禎七年圮於水，遷於舊江川驛，即今治。
HCH_012_046_000260	又南有星雲湖，東南入撫仙湖。
HCH_012_046_000261	北有關索嶺巡檢司。
HCH_012_046_000262	陽宗府東北。
HCH_012_046_000263	北有明湖，一名陽宗湖，源出羅藏山，流入於盤江。
HCH_012_046_000264	新興州東北有羅麼山，一名石崖山。
HCH_012_046_000265	西北有大棋山。
HCH_012_046_000266	又有蒙習山，山與晉寧州交界。
HCH_012_046_000267	又有大溪，下流至嶍峨縣，入於曲江。
HCH_012_046_000268	有羅麼溪，源出羅麼山，入於大溪。
HCH_012_046_000269	又北有普舍縣，南有研和縣，元俱屬州，洪武十五年三月因之，尋廢。
HCH_012_046_000270	又北有鐵爐關巡檢司。
HCH_012_046_000271	東距府二百里。
HCH_012_046_000272	路南州西南有竹子山。
HCH_012_046_000273	東有劄龍山，石可鍊銅。
HCH_012_046_000274	西有巴盤江，源自陸涼州。
HCH_012_046_000275	又有鐵赤河合焉。
HCH_012_046_000276	東南有邑市縣，元屬州，弘治三年九月廢。
HCH_012_046_000277	東北有革泥巡檢司。
HCH_012_046_000278	西距府百三十里。
HCH_012_046_000279	廣西府元廣西路。
HCH_012_046_000280	洪武十五年三月爲府。
HCH_012_046_000281	西有阿盧山。
HCH_012_046_000282	西北有巴盤江。
HCH_012_046_000283	又西有南盤江。
HCH_012_046_000284	又南有矣邦池，一名龍甸海，跨彌勒州界，南入盤江。
HCH_012_046_000285	領州三。
HCH_012_046_000286	西北距布政司三百十里。
HCH_012_046_000287	師宗州西有龜山，萬曆四十八年築督捕城於此。
HCH_012_046_000288	東有英武山。
HCH_012_046_000289	西有盤江，又西北有巴盤江合焉，東北入羅平州界。
HCH_012_046_000290	西南距府八十里。
HCH_012_046_000291	彌勒州南有卜龍山。
HCH_012_046_000292	西有阿欲山。
HCH_012_046_000293	東南有盤江山，南盤江經其下。
HCH_012_046_000294	又東有八甸溪，南合南盤江。
HCH_012_046_000295	又西有十八寨山，嘉靖元年二月置十八寨守禦千戶所於此，直隸雲南都司。
HCH_012_046_000296	又南有捏招巡檢司。
HCH_012_046_000297	東北距府九十里。
HCH_012_046_000298	維摩州元大德四年二月置。
HCH_012_046_000299	東北有小維摩山。
HCH_012_046_000300	東南有大維摩山，又有阿母山。
HCH_012_046_000301	又東北有寶寧溪，下流經廣南府界，合西洋江。
HCH_012_046_000302	西有三鄉城，萬曆二十二年築。
HCH_012_046_000303	西北距府二百二十里。
HCH_012_046_000304	廣南府元廣南西路宣撫司。
HCH_012_046_000305	洪武十五年十一月改置廣南府。
HCH_012_046_000306	西北有牌頭山，土人築砦其上。
HCH_012_046_000307	南有西洋江，東南至廣西田州府，入於左江。
HCH_012_046_000308	領州一。
HCH_012_046_000309	西北距布政司七百九十里。
HCH_012_046_000310	富州元至元十三年置，屬廣南西路。
HCH_012_046_000311	洪武十五年改屬府。
HCH_012_046_000312	東南有者鷂山。
HCH_012_046_000313	東北有西寧山。
HCH_012_046_000314	又東有楠木溪，至州南與南汪溪合，伏流十五里，東出於西洋江。
HCH_012_046_000315	西南有安寧州，東北有羅佐州，俱元至元十三年置，屬廣南西路。
HCH_012_046_000316	洪武十五年因之，後俱廢。
HCH_012_046_000317	西距府二百里。
HCH_012_046_000318	元江軍民府元元江路。
HCH_012_046_000319	洪武十五年三月爲府。
HCH_012_046_000320	永樂初，升軍民府。
HCH_012_046_000321	領州二。
HCH_012_046_000322	東北距布政司七百九十里。
HCH_012_046_000323	奉化州倚。
HCH_012_046_000324	本因遠羅必甸長官司，洪武十八年四月置。
HCH_012_046_000325	嘉靖中，改州。
HCH_012_046_000326	東有羅盤山，亦名玉臺山。
HCH_012_046_000327	又有路通山。
HCH_012_046_000328	東南有元江，亦曰禮社江，東南入納樓茶甸長官司界。
HCH_012_046_000329	西南有瀾滄江，與車裏宣慰司分界。
HCH_012_046_000330	又西有步日部，洪武中廢。
HCH_012_046_000331	又東有禾摩村巡檢司。
HCH_012_046_000332	恭順州本他郎寨長官司，嘉靖中改州。
HCH_012_046_000333	楚雄府元威楚開南路。
HCH_012_046_000334	洪武十五年三月改爲楚雄府。
HCH_012_046_000335	領州二，縣五。
HCH_012_046_000336	東距布政司六百里。
HCH_012_046_000337	楚雄倚。
HCH_012_046_000338	元曰威楚。
HCH_012_046_000339	洪武十五年二月更名。
HCH_012_046_000340	西有薇溪山，又有龍川江，經城北青峯下，曰峨錄江，下流入武定府，合金沙江。
HCH_012_046_000341	西有波羅澗，其麓有滷水，元設鹽課司於此，明廢。
HCH_012_046_000342	西北有呂合巡檢司。
HCH_012_046_000343	廣通府東。
HCH_012_046_000344	元屬南安州。
HCH_012_046_000345	洪武十五年因之，後改屬府。
HCH_012_046_000346	東北有盤龍山，亦曰九盤山。
HCH_012_046_000347	西有羅苴甸山。
HCH_012_046_000348	東有鹽倉山，舊產鹽。
HCH_012_046_000349	又有臥象山，東南有臥獅山，俱產銀礦。
HCH_012_046_000350	又東北有阿陋雄山，有阿陋井、猴井，俱產鹽。
HCH_012_046_000351	又東有舍資河，自武定府流入，下流入於元江。
HCH_012_046_000352	又北有大河，西北入定遠縣之龍川江。
HCH_012_046_000353	東有舍資巡檢司，東北有沙矣舊，西有回蹬關二土巡檢司。
HCH_012_046_000354	定遠府西北。
HCH_012_046_000355	西有赤石山。
HCH_012_046_000356	東有龍川江。
HCH_012_046_000357	又有黑鹽井，設提舉於此。
HCH_012_046_000358	又有琅井提舉司，本置於安寧州，天啓三年移此，有黑井、琅井二巡檢司。
HCH_012_046_000359	又西南有羅平關、南有會基關二巡檢司。
HCH_012_046_000360	定邊府西。
HCH_012_046_000361	元至元十二年置，屬鎮南州。
HCH_012_046_000362	洪武中，改屬。
HCH_012_046_000363	北有螺盤山，上有自普關。
HCH_012_046_000364	又有無量山。
HCH_012_046_000365	南有定邊河，又有陽江，自蒙化府流合焉。
HCH_012_046_000366	柷嘉府南。
HCH_012_046_000367	元置。
HCH_012_046_000368	西有黑初山。
HCH_012_046_000369	東北有卜門河，在卜門山下，又東北合馬龍江，流入新化州。
HCH_012_046_000370	又西有上江河，接南安州界。
HCH_012_046_000371	南安州東有健林蒼山。
HCH_012_046_000372	又西南有表羅山，產銀。
HCH_012_046_000373	北有舍資河。
HCH_012_046_000374	西北距府五十里。
HCH_012_046_000375	鎮南州東北有石吠山。
HCH_012_046_000376	東有五樓山。
HCH_012_046_000377	西南有馬龍江，其上流爲定邊河，又東南入柷嘉縣界。
HCH_012_046_000378	又西有平夷川，龍川江之上流。
HCH_012_046_000379	又有沙橋巡檢司。
HCH_012_046_000380	又有鎮南關、英武關、阿雄關三土巡檢司。
HCH_012_046_000381	東南距府五十里。
HCH_012_046_000382	姚安軍民府元姚安路。
HCH_012_046_000383	洪武十五年三月爲府。
HCH_012_046_000384	二十七年四月升軍民府。
HCH_012_046_000385	領州一，縣一。
HCH_012_046_000386	東南距布政司七百里。
HCH_012_046_000387	姚州倚。
HCH_012_046_000388	元屬大理路。
HCH_012_046_000389	洪武十五年三月來屬。
HCH_012_046_000390	東有東山，一名飽煙蘿山。
HCH_012_046_000391	東北有金沙江。
HCH_012_046_000392	南有青蛉河，源出三窠山，下流合大姚河。
HCH_012_046_000393	北有守禦姚安千戶所，洪武二十八年置。
HCH_012_046_000394	東有箭場、西有普昌、南有三窠、西南有普淜四巡檢司。
HCH_012_046_000395	大姚府北。
HCH_012_046_000396	元屬姚州。
HCH_012_046_000397	洪武十五年三月因之，後改屬府。
HCH_012_046_000398	西北有赤石崖。
HCH_012_046_000399	北有大姚河，源出書案山。
HCH_012_046_000400	西北有龍蛟江，源出鐵索箐，一名苴泡江，產金。
HCH_012_046_000401	俱東北流入金沙江。
HCH_012_046_000402	南有白鹽井提舉司，轄鹽井九。
HCH_012_046_000403	又有白鹽井巡檢司。
HCH_012_046_000404	東有姚安中屯千戶所，洪武二十八年置。
HCH_012_046_000405	武定府元武定路。
HCH_012_046_000406	洪武十五年三月爲府，尋升軍民府。
HCH_012_046_000407	隆慶三年閏六月徙治獅子山。
HCH_012_046_000408	萬曆中，罷稱軍民。
HCH_012_046_000409	領州二，縣一。
HCH_012_046_000410	東南距布政司百五十里。
HCH_012_046_000411	和曲州倚。
HCH_012_046_000412	舊城在南，元州治於此。
HCH_012_046_000413	隆慶三年十二月徙州爲府附郭，令吏目領兵守焉。
HCH_012_046_000414	西北有三臺山。
HCH_012_046_000415	北有金沙江，源出吐蕃共龍川犁牛石，下流經麗江、鶴慶二府，至本府北界，東流入黎溪州，又東入四川會川衛界。
HCH_012_046_000416	有金沙江土巡檢司。
HCH_012_046_000417	又有烏龍河，流入金沙江。
HCH_012_046_000418	又西北有西溪河，即楚雄府龍川江下流。
HCH_012_046_000419	又有隻舊、草起二鹽井。
HCH_012_046_000420	東有南甸縣，元路治，洪武十五年三月改屬州，成化二十年仍屬府，正德元年七月省。
HCH_012_046_000421	西北有乾海子、又有羅摩洱、又南有小甸關三巡檢司。
HCH_012_046_000422	西北有龍街關土巡檢司。
HCH_012_046_000423	元謀府西北。
HCH_012_046_000424	西北有住雄山，又有竹沙雄山。
HCH_012_046_000425	北有金沙江，西有西溪河流入焉。
HCH_012_046_000426	祿勸州北有法塊山，又有哇匿歪山。
HCH_012_046_000427	東北有幸丘山，又有烏蒙山，一名絳雲露山。
HCH_012_046_000428	北有金沙江，與四川東川府界。
HCH_012_046_000429	又東有普渡河，即螳良川，下流會掌鳩河水，入於金沙江。
HCH_012_046_000430	北有易籠縣，元屬州，洪武十七年省。
HCH_012_046_000431	東有石舊縣，元屬州，天啓元年七月省。
HCH_012_046_000432	又北有普渡河巡檢司。
HCH_012_046_000433	南有撒墨巡檢司，後廢。
HCH_012_046_000434	西距府二十里。
HCH_012_046_000435	景東府元至順二年二月置。
HCH_012_046_000436	洪武十五年閏二月因之。
HCH_012_046_000437	三月降爲州，屬楚雄府。
HCH_012_046_000438	十七年正月仍升爲府。
HCH_012_046_000439	西有景董山，洪武中築景東衛城於其上，又築小城於山顛，謂之月城。
HCH_012_046_000440	北有蒙落山，一名無量山。
HCH_012_046_000441	西南有瀾滄江，源出金齒，流經府西南二百餘里，南注車裏，爲九龍江，下流入交址，東南有大河，即定邊河之下流，又東入鎮南州，爲馬龍江。
HCH_012_046_000442	又南有土井，產鹽。
HCH_012_046_000443	北有開南州，元屬威楚開南路。
HCH_012_046_000444	洪武十五年三月屬楚雄府，尋省。
HCH_012_046_000445	又東有三汊河、西北有保甸二土巡檢司。
HCH_012_046_000446	又北有安定關。
HCH_012_046_000447	南有母瓜關。
HCH_012_046_000448	東南有景蘭關。
HCH_012_046_000449	西南有蘭津橋，鐵索爲之。
HCH_012_046_000450	東北距布政司千一百八十里。
HCH_012_046_000451	鎮沅府本鎮沅州。
HCH_012_046_000452	洪武三十五年十二月置。
HCH_012_046_000453	永樂四年四月升爲府。
HCH_012_046_000454	西有波弄山，山上下有鹽井六。
HCH_012_046_000455	南有杉木江，源出者樂甸，下流合威遠州之谷寶江。
HCH_012_046_000456	領長官司一。
HCH_012_046_000457	北距布政司千五十里。
HCH_012_046_000458	祿谷寨長官司府東北。
HCH_012_046_000459	永樂十年四月以祿平寨置。
HCH_012_046_000460	北有馬容山。
HCH_012_046_000461	南有南浪江，西南流合杉木江。
HCH_012_046_000462	大理府元大理路。
HCH_012_046_000463	洪武十五年三月爲府。
HCH_012_046_000464	領州四，縣三，長官司一。
HCH_012_046_000465	東南距布政司八百九十里。
HCH_012_046_000466	太和倚。
HCH_012_046_000467	西有點蒼山。
HCH_012_046_000468	東有西洱河，一名洱海，自浪穹縣流入，經天橋下，又東合點蒼山之十八川匯於此，中有三島、四洲、九曲。
HCH_012_046_000469	西有樣備江，一曰漾鼻水，自劍川州流入，經點蒼山後，合於西洱河，又西南流入瀾滄江。
HCH_012_046_000470	南有太和土巡檢司。
HCH_012_046_000471	又北有龍首關，亦曰上關。
HCH_012_046_000472	南有龍尾關，亦曰下關。
HCH_012_046_000473	趙州洪武十五年三月改名趙喜州，尋復。
HCH_012_046_000474	南有九龍頂山。
HCH_012_046_000475	又有定西嶺，大江之源出焉，一名波羅江，西北入西洱河。
HCH_012_046_000476	又西南有樣備江，南入蒙化府界。
HCH_012_046_000477	東南有白崖江，源出定西嶺，下流爲禮社江。
HCH_012_046_000478	有舊白崖城，嘉靖四十三年修築，更名彩雲城。
HCH_012_046_000479	又東有乾海子、南有迷度市二巡檢司。
HCH_012_046_000480	又有定西嶺上巡檢司。
