HCH_012_156_000000	吳允誠薛斌吳成金忠李英毛勝焦禮毛忠和勇羅秉忠吳允誠，蒙古人。
HCH_012_156_000094	賢亦屢陳所見，成祖皆采納之。
HCH_012_156_000095	仁宗即位，念舊勞，進後軍都督僉事，再進右都督，賜賚甚渥。
HCH_012_156_000096	尋召見，憫其病，封忠勤伯。
HCH_012_156_000097	食祿千一百石。
HCH_012_156_000098	尋卒。
HCH_012_156_000099	吳成，遼陽人，初名買驢。
HCH_012_156_000100	父通伯，元遼陽行省右丞。
HCH_012_156_000101	太祖時，觀童來降，通伯父子與俱。
HCH_012_156_000102	買驢更今姓名，充總旗，數從大軍出塞。
HCH_012_156_000103	建文元年授永平衛百戶。
HCH_012_156_000104	降燕，從戰皆有功，三遷都指揮僉事，始知名。
HCH_012_156_000105	南軍聞吳買驢名，多於陣上指目之。
HCH_012_156_000106	設伏淝河，進兵小河，合戰齊眉山，攻敗靈璧軍，皆殊死鬥，功多。
HCH_012_156_000107	成祖即位，授都指揮使。
HCH_012_156_000108	從征本雅失里。
HCH_012_156_000109	疾戰，本雅失里以七騎遁。
HCH_012_156_000110	從征阿魯臺，合朱榮兵為前鋒，追至闊灣海。
HCH_012_156_000111	召還，進都督僉事。
HCH_012_156_000112	又三從出塞。
HCH_012_156_000113	洪熙元年進左都督。
HCH_012_156_000114	從陽武侯薛祿征大松嶺，為前鋒，有功，增祿米。
HCH_012_156_000115	宣宗初，以成嘗宿衛東宮，錄舊勞，封清平伯，祿千一百石，予世券。
HCH_012_156_000116	從征樂安，復與薛祿為前鋒。
HCH_012_156_000117	事定，出守備興和。
HCH_012_156_000118	成好畋獵而不修武備。
HCH_012_156_000119	寇伺其出獵，卒入城，掠其妻孥以去。
HCH_012_156_000120	帝聞之，置不罪。
HCH_012_156_000121	已而阿魯臺入貢，還其家口。
HCH_012_156_000122	三年，帝北征，從敗賊於寬河，進侯，祿如故。
HCH_012_156_000123	八年卒。
HCH_012_156_000124	贈渠國公，謚壯勇。
HCH_012_156_000125	子忠前死，忠子英嗣伯。
HCH_012_156_000126	卒，子璽嗣。
HCH_012_156_000127	坐貪淫奪爵。
HCH_012_156_000128	久乃復之。
HCH_012_156_000129	卒，無子，從弟琮嗣。
HCH_012_156_000130	四傳至玄孫遵周。
HCH_012_156_000131	崇禎末，京師陷，被殺。
HCH_012_156_000132	滕定，父瓚住，元樞密知院。
HCH_012_156_000133	洪武中，來降。
HCH_012_156_000134	授會州衛指揮僉事，賜姓滕。
HCH_012_156_000135	從燕起兵，進燕山右衛指揮使。
HCH_012_156_000136	卒，定嗣官，屢從出塞，有功，進至都督僉事。
HCH_012_156_000137	宣德四年封奉化伯，祿八百石。
HCH_012_156_000138	正統初卒。
HCH_012_156_000139	子福嗣，為指揮使。
HCH_012_156_000140	金順，本名阿魯哥失里。
HCH_012_156_000141	永樂中來降，授大寧都指揮僉事。
HCH_012_156_000142	從敗本雅失里，又敗阿魯臺，累進都督僉事。
HCH_012_156_000143	宣德三年從巡北邊，有斬捕功。
HCH_012_156_000144	明年封順義伯，祿八百石。
HCH_012_156_000145	卒，子忠嗣，為指揮僉事。
HCH_012_156_000146	金忠者，蒙古王子也先土干也。
HCH_012_156_000147	素桀黠，為阿魯臺所忌。
HCH_012_156_000148	永樂二十一年，成祖親征漠北，至上莊堡，率妻子部屬來降。
HCH_012_156_000149	時六師深入，寇已遠遁。
HCH_012_156_000150	帝方恥無功，見其來歸，大喜。
HCH_012_156_000151	賜姓名，封忠勇王，賜冠帶織金襲衣，命坐列侯下。
HCH_012_156_000152	輟御前珍羞賜之，復賜金銀寶器。
HCH_012_156_000153	忠大喜過望。
HCH_012_156_000154	班師在道，忠騎從，數問寇中事，眷寵日隆。
HCH_012_156_000155	明年，忠請為前鋒，討阿魯臺自效。
HCH_012_156_000156	帝初不許。
HCH_012_156_000157	會大同、開平警報至，諸將請從忠言。
HCH_012_156_000158	帝復出塞，忠與陳懋為前鋒。
HCH_012_156_000159	而阿魯臺聞王師復出，倉皇渡答蘭納木兒河遁去。
HCH_012_156_000160	忠、懋至河不見寇，抵白邙山，卒無所遇，乃班師。
HCH_012_156_000161	仁宗嗣位，加太子太保，並支二俸。
HCH_012_156_000162	宣德三年親征兀良哈，敗寇於寬河。
HCH_012_156_000163	忠與把臺請自效，帝許之。
HCH_012_156_000164	或言不可遣，帝曰：「去留任所欲耳。朕有天下，獨少此二人邪。」
HCH_012_156_000165	二人獲數十人、馬牛數百來獻。
HCH_012_156_000166	帝喜，命中官酌以金卮，遂賜之。
HCH_012_156_000167	明年加太保。
HCH_012_156_000168	六年秋卒。
HCH_012_156_000169	命有司治喪葬。
HCH_012_156_000170	把臺者，忠之甥，從忠來降，授都督僉事。
HCH_012_156_000171	宣德初，賜姓名蔣信。
HCH_012_156_000172	正統中，封忠勇伯。
HCH_012_156_000173	從駕陷土木，也先使隸賽罕王帳下。
HCH_012_156_000174	信雖居朔漠，志常在中國。
HCH_012_156_000175	每詣上皇所慟哭，擁衛頗至。
HCH_012_156_000176	已，竟從駕還，詔復給其祿。
HCH_012_156_000177	景泰五年卒。
HCH_012_156_000178	贈侯，謚僖順。
HCH_012_156_000179	子也兒索忽襲爵。
HCH_012_156_000180	天順初，更名善。
HCH_012_156_000181	弘治中卒。
HCH_012_156_000182	無子，爵絕。
HCH_012_156_000183	李英，西番人。
HCH_012_156_000184	父南哥，洪武中率眾歸附，授西寧州同知，累功進西寧衛指揮僉事。
HCH_012_156_000185	英嗣官。
HCH_012_156_000186	永樂十年，番酋老的罕叛，英擊之。
HCH_012_156_000187	討來川，俘斬三百六十人。
HCH_012_156_000188	夜雪，賊遁，追盡獲之，進都指揮僉事。
HCH_012_156_000189	番僧張答里麻者，通譯書。
HCH_012_156_000190	成祖授以左覺義。
HCH_012_156_000191	居西寧，恣甚。
HCH_012_156_000192	以計取西番貢使資，納逋逃，交通外域，肆惡十餘年。
HCH_012_156_000193	英發其事，磔死，籍其家。
HCH_012_156_000194	西陲快之。
HCH_012_156_000195	末年，中官喬來喜、鄧誠等使西域，道安定、曲先，遇賊見殺，掠所賫金幣。
HCH_012_156_000196	仁宗璽書諭赤斤、罕東及安定、曲先，詰賊主名。
HCH_012_156_000197	而敕英與土官指揮康壽等進討。
HCH_012_156_000198	英诇知安定指揮哈三孫散哥、曲先指揮散即思實殺使者，遂率兵西入。
HCH_012_156_000199	賊驚走。
HCH_012_156_000200	追擊，逾昆侖山，深入數百里。
HCH_012_156_000201	至雅令闊，與安定賊遇，大敗之，俘斬千一百餘人，獲馬牛雜畜十四萬。
HCH_012_156_000202	曲先賊聞風遠遁，安定王桑爾加失夾等懼，詣闕謝罪。
HCH_012_156_000203	宣宗嘉英功，遣使褒諭，宴勞之，令馳驛入朝。
HCH_012_156_000204	既至，擢右府左都督，賜賚加等。
HCH_012_156_000205	宣德二年封會寧伯，祿千一百石，並封南哥如子爵。
HCH_012_156_000206	英恃功而驕，所為多不法。
HCH_012_156_000207	寧夏總兵官史昭奏英父子有異志。
HCH_012_156_000208	南哥上章辯。
HCH_012_156_000209	賜敕慰諭之。
HCH_012_156_000210	英家西寧，招逋逃七百餘戶，置莊墾田，豪奪人產，復為兵部及言官所劾。
HCH_012_156_000211	帝宥英，追逃者入官。
HCH_012_156_000212	七年，西寧指揮祁震子成當襲父職。
HCH_012_156_000213	庶兄監藏，英甥也，欲奪之。
HCH_012_156_000214	成從祖太平攜成赴京辯。
HCH_012_156_000215	英遣人篡取太平及其義兒杖之，義兒竟死。
HCH_012_156_000216	言官交劾，並及前罪，遂下英詔獄，奪爵論死。
HCH_012_156_000217	正統二年始釋。
HCH_012_156_000218	後稍給其祿。
HCH_012_156_000219	尋卒。
HCH_012_156_000220	英宗復辟，官其子㫤錦衣指揮同知。
HCH_012_156_000221	尋進都指揮使，用薦擢左軍都督僉事，屢分典營務，以嚴慎稱。
HCH_012_156_000222	英從子文，宣德間為陜西行都司都指揮僉事。
HCH_012_156_000223	西番思俄可嘗盜他部善馬，都指揮穆肅求不得。
HCH_012_156_000224	會思俄可以畜產鬻於邊，肅誣以盜，收掠致死，番人惶駭思亂。
HCH_012_156_000225	文劾之，逮肅下吏，西陲以寧。
HCH_012_156_000226	累官都指揮使。
HCH_012_156_000227	天順元年冒迎駕功，進都督僉事。
HCH_012_156_000228	未幾，以右都督出鎮大同。
HCH_012_156_000229	寇二千餘騎犯威遠，文率師敗之，封高陽伯。
HCH_012_156_000230	石亨敗，革奪門冒功者官。
HCH_012_156_000231	文自首，帝以守邊不問。
HCH_012_156_000232	四年秋，孛來大舉入寇，文按兵不戰。
HCH_012_156_000233	遂入雁門，大掠忻、代諸州。
HCH_012_156_000234	京師震恐。
HCH_012_156_000235	寇退，征文下詔獄，論斬。
HCH_012_156_000236	帝宥文死，降都督僉事，立功延綏。
HCH_012_156_000237	既而進都督同知。
HCH_012_156_000238	成化中，哈密為土魯番所併，求救於朝。
HCH_012_156_000239	詔文與右通政劉文往甘肅經略之，無功而還。
HCH_012_156_000240	弘治初卒。
HCH_012_156_000241	正德初贈高陽伯。
HCH_012_156_000242	毛勝，字用欽，初名福壽，元右丞相伯卜花之孫。
HCH_012_156_000243	伯父那海，洪武中歸附，以「靖難」功至都指揮同知，無子。
HCH_012_156_000244	勝父安太嗣為羽林指揮使，傳子濟，無子，勝嗣。
HCH_012_156_000245	論濟征北功，進都指揮使。
HCH_012_156_000246	嘗逃歸塞外，尋復自還。
HCH_012_156_000247	正統七年以征麓川功，擢都督僉事。
HCH_012_156_000248	靖遠伯王驥請選在京番將舍人，捕苗雲南。
HCH_012_156_000249	乃命勝與都督冉保統六百人往。
HCH_012_156_000250	已，再征麓川，即命二人充左右參將。
HCH_012_156_000251	賊平，進都督同知。
HCH_012_156_000252	十四年夏，也先謀入寇，勝偕平鄉伯陳懷等率京軍三萬鎮大同。
HCH_012_156_000253	懷遇寇戰歿，勝脫還。
HCH_012_156_000254	以武清伯石亨薦，景帝進勝左都督，督三千營操練。
HCH_012_156_000255	貴州苗大擾，詔勝往討。
HCH_012_156_000256	未行而也先逼京師。
HCH_012_156_000257	勝禦之彰義門北，擊退之。
HCH_012_156_000258	越二日，引兵西直門外，解都督孫鏜圍。
HCH_012_156_000259	明日，都督武興戰歿於彰義門，寇乘勝進。
HCH_012_156_000260	勝與都御史王竑急援之，寇遂引卻。
HCH_012_156_000261	勝追襲至紫荊關，頗有斬獲。
HCH_012_156_000262	事定，乃命以左副總兵統河間、東昌降夷赴貴州。
HCH_012_156_000263	賊首韋同烈據香壚山作亂，勝與總兵梁珤、右副總兵方瑛等從總督王來分道夾擊。
HCH_012_156_000264	勝進自重安江，大破之。
HCH_012_156_000265	會師山下，環四面攻之。
HCH_012_156_000266	賊窘，縛同烈降。
HCH_012_156_000267	還討湖廣巴馬諸處反賊，克二十餘寨，擒賊首吳奉先等百四十人，斬首千餘級，封南寧伯，予世券。
HCH_012_156_000268	疏請更名，從之。
HCH_012_156_000269	移鎮騰沖。
HCH_012_156_000270	金齒芒市長官刀放革潛結麓川遺孽思卜發為變，勝設策擒之。
HCH_012_156_000271	巡按御史牟俸劾其貪暴不法數十事，且言勝本降人，狡猾難制，今又數通外夷，恐貽邊患。
HCH_012_156_000272	詔巡撫覆實，卒置不問。
HCH_012_156_000273	天順二年卒。
HCH_012_156_000274	贈侯，謚莊毅。
HCH_012_156_000275	子榮嗣。
HCH_012_156_000276	坐石亨黨，發廣西立功。
HCH_012_156_000277	成化初，鎮貴州，尋移兩廣。
HCH_012_156_000278	卒，子文嗣。
HCH_012_156_000279	弘治初協守南京，傳爵至明亡乃絕。
HCH_012_156_000280	焦禮，字尚節，蒙古人。
HCH_012_156_000281	父把思臺，洪武中歸附，為通州衛指揮僉事。
HCH_012_156_000282	子勝嗣，傳至義榮，無子，以勝弟謙嗣，累功至都指揮同知。
HCH_012_156_000283	卒，子管失奴幼，謙弟禮借襲其職，備禦遼東。
HCH_012_156_000284	宣德初，禮當還職。
HCH_012_156_000285	宣宗念禮守邊勞，命居職如故，別授管失奴指揮使。
HCH_012_156_000286	禮尋以年勞，累進都指揮同知。
HCH_012_156_000287	正統中，積功至右都督。
HCH_012_156_000288	英宗北狩，景帝命充左副總兵，守寧遠。
HCH_012_156_000289	未幾，也先逼京城，詔禮率師入衛。
HCH_012_156_000290	寇退還鎮。
HCH_012_156_000291	景泰四年，賊二千餘騎犯興水堡，禮擊走之。
HCH_012_156_000292	璽書獎勵，進左都督。
HCH_012_156_000293	英宗復辟，以禮守邊有功，召入覲。
HCH_012_156_000294	封東寧伯，世襲，賜賚甚厚。
HCH_012_156_000295	遣還鎮。
HCH_012_156_000296	兵部以禮年垂八十，不可獨任，奏遣都指揮鄧鐸協同守備。
HCH_012_156_000297	居無何，禮奏鐸欺侮，請更調。
HCH_012_156_000298	命都指揮張俊代鐸。
HCH_012_156_000299	天順七年卒於鎮。
HCH_012_156_000300	贈侯，謚襄毅。
HCH_012_156_000301	禮有膽略，精騎射，善以少擊眾。
HCH_012_156_000302	守寧遠三十餘年，士卒樂為用，邊陲寧謐。
HCH_012_156_000303	孫壽嗣爵。
HCH_012_156_000304	卒，無子，弟俊嗣。
HCH_012_156_000305	成化末，歷鎮甘肅、寧夏。
HCH_012_156_000306	弘治中，掌南京前府，兼督操江。
HCH_012_156_000307	出鎮貴州、湖廣。
HCH_012_156_000308	俊少事商販，既貴，能下士，而折沖非所長。
HCH_012_156_000309	卒，子淇嗣。
HCH_012_156_000310	嘗分典京營。
HCH_012_156_000311	正德中，賄劉瑾，出鎮兩廣。
HCH_012_156_000312	逾年卒，弟洵嗣。
HCH_012_156_000313	洵雖嗣爵，先業盡為淇妻所有。
HCH_012_156_000314	生母卒，無以葬，哀憤得疾卒。
HCH_012_156_000315	無子，以再從子棟嗣。
HCH_012_156_000316	嘉靖中，提督五軍營，兼掌中府。
HCH_012_156_000317	逾十年，改總兵湖廣。
HCH_012_156_000318	卒，贈太子太保，謚莊僖。
HCH_012_156_000319	傳爵至明亡乃絕。
HCH_012_156_000320	毛忠，字允誠，初名哈喇，西陲人。
HCH_012_156_000321	曾祖哈喇歹，洪武初歸附，起行伍為千戶，戰歿。
HCH_012_156_000322	祖拜都從征哈密，亦戰歿。
HCH_012_156_000323	父寶以驍勇充總旗，至永昌百戶。
HCH_012_156_000324	忠襲職時，年二十。
HCH_012_156_000325	膂力絕人，善騎射。
HCH_012_156_000326	常從太宗北征。
HCH_012_156_000327	宣德五年征曲先叛寇，有功。
HCH_012_156_000328	八年征亦不剌山，擒偽少師知院。
HCH_012_156_000329	九年出脫歡山，十年征黑山寇，皆擒其酋。
HCH_012_156_000330	各進一官，歷指揮同知。
HCH_012_156_000331	正統三年，從都督蔣貴征朵兒只伯，先登陷陣，大獲，擢都指揮僉事。
HCH_012_156_000332	十年以守邊勞，進同知，始賜姓。
HCH_012_156_000333	明年，從總兵官任禮收捕沙州衛都督喃哥部落，徙之塞內，進都指揮使。
HCH_012_156_000334	十三年率師至罕東，生縶喃哥弟偽祁王鎖南奔並其部眾，擢都督僉事，始賜名忠。
HCH_012_156_000335	尋充右參將，協守甘肅。
HCH_012_156_000336	景泰初，侍郎李實使漠北，還言忠數遣使通瓦剌。
HCH_012_156_000337	詔執赴京。
HCH_012_156_000338	既至，兵部論其罪，請置大辟。
HCH_012_156_000339	景帝不許。
HCH_012_156_000340	請貶官，發福建立功。
HCH_012_156_000341	乃遣之福建，而官秩如故。
HCH_012_156_000342	令甘肅守臣徙其家屬京師。
HCH_012_156_000343	初，忠之征沙漠也，獲番僧加失領真以獻。
HCH_012_156_000344	英宗赦不誅。
HCH_012_156_000345	後逃之瓦剌，為也先用。
HCH_012_156_000346	憾忠，欲陷之。
HCH_012_156_000347	遂宣言忠與也先交通，而朝廷不察也。
HCH_012_156_000348	英宗在塞外獨知之，比復辟，即召還。
HCH_012_156_000349	而忠在福建亦屢有斬馘功，乃擢都督同知，充左副總兵，鎮守甘肅。
HCH_012_156_000350	陛見，慰諭甚至，賜玉帶、織金蟒衣。
HCH_012_156_000351	天順二年，寇大入甘肅，巡撫芮釗劾奏諸將失事罪。
HCH_012_156_000352	部議忠功足贖罪，置不問。
HCH_012_156_000353	三年以鎮番破賊功，進左都督。
HCH_012_156_000354	五年，孛來以數萬騎分掠西寧、莊浪、甘肅諸道，入涼州。
HCH_012_156_000355	忠鏖戰一日夜，矢盡力疲。
HCH_012_156_000356	賊來益眾，軍中皆失色。
HCH_012_156_000357	忠意氣彌厲，拊循將士，復殊死鬥。
HCH_012_156_000358	賊見終不可勝，而援軍亦至，遂解去。
HCH_012_156_000359	忠竟全師還。
HCH_012_156_000360	七年，永昌、涼州、莊浪塞外諸番屢為邊患。
HCH_012_156_000361	忠與總兵官衛穎分討之。
HCH_012_156_000362	忠先破巴哇諸大族。
HCH_012_156_000363	其昝咂、馬吉思諸族，他將不能下者，忠復擊破之。
HCH_012_156_000364	論功，忠止增祿百石，而穎乃得世券。
HCH_012_156_000365	忠以為言，遂封伏羌伯。
HCH_012_156_000366	成化四年，固原賊滿四據石城反。
HCH_012_156_000367	詔忠移師討之，與總督項忠等夾攻賊巢。
HCH_012_156_000368	忠由木頭溝直抵炮架山下，多所斬獲，賊稍卻。
HCH_012_156_000369	冒矢石連奪山北、山西兩峰，而項忠等軍亦克山之東峰。
HCH_012_156_000370	及石城東、西二門，賊大窘，相對哭。
HCH_012_156_000371	忽昏霧起，他哨舉煙掣軍，賊遂並力攻忠。
HCH_012_156_000372	忠力戰不已，為流矢所中，卒，年七十五。
HCH_012_156_000373	從子海、孫鎧前救忠，亦死。
HCH_012_156_000374	忠為將嚴紀律，善撫士。
HCH_012_156_000375	其卒也，西陲人吊哭者相望於道。
HCH_012_156_000376	事聞，贈侯，謚武勇，予世券。
HCH_012_156_000377	弘治中，從有司言，建忠義坊於蘭州，以表其里。
HCH_012_156_000378	又從巡撫許進言，建武勇祠於甘州城東，春秋致祭。
HCH_012_156_000379	孫銳，襲伯爵。
HCH_012_156_000380	成化中，協守南京。
HCH_012_156_000381	弘治初，出鎮湖廣，改兩廣。
HCH_012_156_000382	平蠻賊，累有功，咸璽書獎勵。
HCH_012_156_000383	九年以廣西破賊，增歲祿二百石。
HCH_012_156_000384	言官劾銳廣置邸舍，私造大舶以通番商。
HCH_012_156_000385	置不問。
HCH_012_156_000386	思恩土官岑浚反，與總督潘蕃討平之。
HCH_012_156_000387	既又討平賀縣僮賊。
HCH_012_156_000388	加官至太子太傅。
HCH_012_156_000389	正德三年，劉瑾欲殺尚書劉大夏，坐以處置田州事失宜，並逮銳下詔獄。
HCH_012_156_000390	獄具，革其加官並歲祿五百石。
HCH_012_156_000391	已而賄瑾，起督漕運。
HCH_012_156_000392	逾年，瑾誅，被劾罷。
HCH_012_156_000393	六年，盜劉宸等擾畿甸，命銳與中官谷大用討之。
HCH_012_156_000394	所統京軍皆驕惰不習戰。
HCH_012_156_000395	明年正月，遇賊於長垣，與戰大敗，身被傷，亡將印。
HCH_012_156_000396	會許泰援軍至，僅免。
HCH_012_156_000397	言官交劾，乃召還。
HCH_012_156_000398	以與大用同事，竟不罪。
HCH_012_156_000399	世宗即位，復起鎮湖廣。
HCH_012_156_000400	居三年卒。
HCH_012_156_000401	贈太傅，謚威襄。
HCH_012_156_000402	傳子江及漢。
HCH_012_156_000403	漢，嘉靖中掌南京左府，提督操江，改總督漕運。
HCH_012_156_000404	未上，給事中楊上林劾其所至貪墨，詔褫職逮問。
HCH_012_156_000405	卒，無子，從子桓嗣。
HCH_012_156_000406	卒，子登嗣。
HCH_012_156_000407	萬曆中，掌中軍府事垂二十年。
HCH_012_156_000408	又再傳而明亡。
HCH_012_156_000409	和勇，初名脫脫孛羅，和寧王阿魯臺孫也。
HCH_012_156_000410	阿魯臺既為瓦剌脫歡所殺，子阿卜只俺窮蹙，款塞來歸。
HCH_012_156_000411	宣宗授以左都督，賜第京師。
HCH_012_156_000412	卒，勇襲指揮使，帶俸錦衣衛，積功至都督僉事。
HCH_012_156_000413	天順元年詔加同知，賜姓名。
HCH_012_156_000414	久之以兩廣多寇，命充遊擊將軍，統降夷千人往討。
HCH_012_156_000415	時總兵顏彪無將略，賊勢愈熾。
HCH_012_156_000416	廣西巡撫吳禎殺降冒功，得優賞。
HCH_012_156_000417	彪效之，亦殺平民報捷。
HCH_012_156_000418	朝廷進彪官，勇亦進右都督。
HCH_012_156_000419	既而師久無功，言官劾文武將吏之失事者。
HCH_012_156_000420	詔停勇俸，充為事官。
HCH_012_156_000421	成化初，趙輔、韓雍征大藤峽賊，詔勇以所部從征。
HCH_012_156_000422	其冬，賊大破，進左都督，增祿百石。
HCH_012_156_000423	三年召督效勇營訓練。
HCH_012_156_000424	尋上言：「大藤峽之役，臣與趙輔同功。輔還京，余賊復叛。臣親搗賊巢，縶其魁，誅其黨，還被掠男女四千人。今輔已封伯，而臣止進秩，惟陛下憐察。」
HCH_012_156_000425	憲宗以勇再著戰功，特封靖安伯。
HCH_012_156_000426	十年卒。
HCH_012_156_000427	謚武敏，世襲指揮使。
HCH_012_156_000428	勇性廉謹。
HCH_012_156_000429	在兩廣時，諸將多營私漁利，勇獨無所取。
HCH_012_156_000430	時論稱之。
HCH_012_156_000431	羅秉忠，初名克羅俄領占，沙州衛都督僉事困即來子也。
HCH_012_156_000432	兄喃哥既襲父職，英宗復命秉忠為指揮使，協理衛事。
HCH_012_156_000433	既而喃哥率千二百人內徙，詔居之東昌、平山二衛，給田廬什器，所以撫恤甚厚。
HCH_012_156_000434	喃哥卒，秉忠為都指揮使，代領其眾。
HCH_012_156_000435	英宗北狩，塞上多警。
HCH_012_156_000436	朝議恐降人乘機為變，欲徙之南方。
HCH_012_156_000437	會貴州苗亂，都督毛福壽南征，即擢秉忠都督僉事，率所部援剿。
