HCH_012_003_000000	十五年春正月辛巳，宴羣臣於謹身殿，始用九奏樂。
HCH_012_003_000377	辛卯，耿炳文練兵陝西。
HCH_012_003_000378	乙未，重建國子監先師廟成。
HCH_012_003_000379	十一月癸酉，沐春為征虜前將軍，都督何福等副之，討刀幹孟。
HCH_012_003_000380	是年，琉球、占城、朝鮮、暹羅、烏斯藏、泥八剌入貢。
HCH_012_003_000381	三十一年春正月壬戌，大祀天地於南郊。
HCH_012_003_000382	乙丑，遣使之山東、河南課耕。
HCH_012_003_000383	二月乙酉，倭寇寧海，指揮陶鐸擊敗之。
HCH_012_003_000384	辛丑，古州蠻平，召楊文還。
HCH_012_003_000385	甲辰，都督僉事徐凱討平麼些蠻。
HCH_012_003_000386	夏四月庚辰，廷臣以朝鮮屢生釁隙請討，不許。
HCH_012_003_000387	五月丁未，沐春擊刀幹孟，大敗之。
HCH_012_003_000388	甲寅，帝不豫。
HCH_012_003_000389	戊午，都督楊文從燕王棣，武定侯郭英從遼王植，備禦開平，俱聽燕王節制。
HCH_012_003_000390	閏月癸未，帝疾大漸。
HCH_012_003_000391	乙酉，崩於西宮，年七十有一。
HCH_012_003_000392	遺詔曰：「朕膺天命三十有一年，憂危積心，日勤不怠，務有益於民。奈起自寒微，無古人之博知，好善惡惡，不及遠矣。今得萬物自然之理，其奚哀念之有。皇太孫允炆仁明孝友，天下歸心，宜登大位。內外文武臣僚同心輔政，以安吾民。喪祭儀物，毋用金玉。孝陵山川因其故，毋改作。天下臣民，哭臨三日，皆釋服，毋妨嫁娶。諸王臨國中，毋至京師。諸不在令中者，推此令從事。」
HCH_012_003_000393	辛卯，葬孝陵。
HCH_012_003_000394	諡曰高皇帝，廟號太祖。
HCH_012_003_000395	永樂元年，諡聖神文武欽明啟運俊德成功統天大孝高皇帝。
HCH_012_003_000396	嘉靖十七年，增諡開天行道肇紀立極大聖至神仁文義武俊德成功高皇帝。
HCH_012_003_000397	帝天授智勇，統一方夏，緯武經文，為漢、唐、宋諸君所未及。
HCH_012_003_000398	當其肇造之初，能沉幾觀變，次第經略，綽有成算。
HCH_012_003_000399	嘗與諸臣論取天下之略，曰：「朕遭時喪亂，初起鄉土，本圖自全。及渡江以來，觀羣雄所為，徒為生民之患，而張士誠、陳友諒尤為巨蠹。士誠恃富，友諒恃強，朕獨無所恃。惟不嗜殺人，布信義，行節儉，與卿等同心共濟。初與二寇相持，士誠尤逼近，或謂宜先擊之。朕以友諒志驕，士誠器小，志驕則好生事，器小則無遠圖，故先攻友諒。鄱陽之役，士誠卒不能出姑蘇一步以為之援。向使先攻士誠，浙西負固堅守，友諒必空國而來，吾腹背受敵矣。二寇既除，北定中原，所以先山東、次河洛，止潼關之兵不遽取秦、隴者，蓋擴廓帖木兒、李思齊、張思道皆百戰之餘，未肯遽下，急之則併力一隅，猝未易定，故出其不意，反斾而北。燕都既舉，然後西征。張、李望絕勢窮，不戰而克，然擴廓猶力抗不屈。向令未下燕都，驟與角力，勝負未可知也。」
HCH_012_003_000400	帝之雄才大略，料敵制勝，率類此。
HCH_012_003_000401	故能戡定禍亂，以有天下。
HCH_012_003_000402	語云「天道後起者勝」，豈偶然哉。
HCH_012_003_000403	贊曰：太祖以聰明神武之資，抱濟世安民之志，乘時應運，豪傑景從，戡亂摧強，十五載而成帝業。
HCH_012_003_000404	崛起布衣，奄奠海宇，西漢以後所未有也。
HCH_012_003_000405	懲元政廢弛，治尚嚴峻。
HCH_012_003_000406	而能禮致耆儒，考禮定樂，昭揭經義，尊崇正學，加恩勝國，澄清吏治，修人紀，崇風教，正後宮名義，內治肅清，禁宦豎不得干政，五府六部官職相維，置衞屯田，兵食俱足。
HCH_012_003_000407	武定禍亂，文致太平，太祖實身兼之。
HCH_012_003_000408	至於雅尚志節，聽蔡子英北歸。
HCH_012_003_000409	晚歲憂民益切，嘗以一歲開支河暨塘堰數萬以利農桑、備旱潦。
HCH_012_003_000410	用此子孫承業二百餘年，士重名義，閭閻充實。
HCH_012_003_000411	至今苗裔蒙澤，尚如東樓、白馬，世承先祀，有以哉。
